path,size_bytes,sha256,repository_status,notes
figures/fig_metrics_reproduced.png,124951,ed1d780595b25938e8bc598cbf25932ce0b9f290ee957b16362970bf5a028638,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_pipeline.png,64325,dc2f73c1d19ea5992dd4bf56e895f01dfa48e74eb7bf0abd5178b16d82f2056f,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_q3_walkthrough.png,115102,1c61a8eb7f610b7ff7bc2842bd08a559cd8a1db6ea3456c60a5a22762c5a84ae,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_q_formula.png,67032,a2cfabc85409bbf3223d7549156a9785320848ab0a089a2b837acfd5ddf9433f,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_research_program.png,91660,568b20f9f37cb2efc9280a73c7f30d91c27cd15ba7b7188622d16453b006e6f5,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_step1_flow.png,146603,213b1af0f965d853c3424540dfedade1b9b16632f11ff36222176ff068b396a7,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_step1_output_q3.png,111478,7134d9148ad83a2556c26b4de181fc750a10fdbc7ed6fdd4091a19609d0f2dff,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/idd_architecture_v3.png,87629,fc87b75d86d88e229da8b9436488b38ea5c9f5766fae038f31137ddde33e907b,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/screenshot_corpus.png,111641,0c66108a3e578dae77c4928ea3872c73dc0da7d4d274ebecf5ab2c88a3d66e57,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/screenshot_discrepancy_cards.png,88861,dc9911d5d11cb8c205b7aac5634eb22bfc4d7b59f0331436c706efad1f8a5b9b,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/screenshot_metrics_dashboard.png,47320,fc281f11d1759f5212130d0731250972a36aec940fbf375dfac0ac327804e54b,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
notes/SOURCE_GAPS_AND_NEXT_EVIDENCE.md,1677,bdb7e63aab5ecd503198ec27cee4c4c4ed8923a8e9c788b40be5e7d5f6f81522,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
notes_BALANCED_REVISION.md,1968,0883cd5cd75a51b5a2ee391f10441bf9ab79e80788ec6c2fb27e09ef61e6b788,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
pages/abstract.tex,2999,9bf276764ccddb0b4c20f2d903e011c0b08d9845122f0c635306e56b64636772,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
pages/bib.tex,7960,7ab6c2ccd81b72c3eb539979d4c43fc20f05477f3def126f63a001664f3772ad,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
pages/title.tex,603,06c09e4677ca7088f4b5776e75992c8752c84370d170cfbf7f125e087fd23c8f,checksum_recorded_sensitive_frontmatter_not_stored,content not stored; personal committee identifier excluded from evidence-repository content
sample.bib,1810,acdd740240ae16d7d5bf1b0d3791b82013041aae678c9a8d81fdb647452a5890,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
thesis.cls,27876,d5ec06027a4676765928a6f3433c3429fdf97761c2a45a9563f34bee879569a7,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
thesis.pdf,666548,354d77ee5ab43caca991fc91b0a744f3ee8602eb38fc0f3a80fc770fc3ea6c4a,checksum_recorded_compiled_artifact_not_stored,compiled proposal artifact remains under Overleaf authority
thesis.tex,2727,14592ef3c307305720ddc67bd967506cf4ba4691170e87f3935906016122e4ed,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
