anchor,path,mapping_rows,related_claims,source_records,unregistered_citation_keys,review_status
SEP17-02-P005,chapters/02_background.tex,MAP-04;MAP-05,,SRC-0001,Clark1996;Stalnaker2002,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P006,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P007,chapters/02_background.tex,MAP-04;MAP-05,,,Traum1994,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P008,chapters/02_background.tex,MAP-04;MAP-05,,SRC-0010,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P009,chapters/02_background.tex,MAP-04;MAP-05,,,Schegloff1977,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P010,chapters/02_background.tex,MAP-04;MAP-05,,SRC-0002;SRC-0003,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P011,chapters/02_background.tex,MAP-04;MAP-05,,SRC-0004;SRC-0036,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P012,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P013,chapters/02_background.tex,MAP-04;MAP-05,,,Rabinowitz2018,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P014,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P015,chapters/02_background.tex,MAP-04;MAP-05,,,GroszKraus1996,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P016,chapters/02_background.tex,MAP-04;MAP-05,,,Chakraborti2017,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P017,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P018,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P019,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P020,chapters/02_background.tex,MAP-04;MAP-05,,,Hutchins1995;Klein2005;Suchman1987,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P021,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P022,chapters/02_background.tex,MAP-04;MAP-05,,SRC-0021,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P023,chapters/02_background.tex,MAP-04;MAP-05,,,Amershi2019;Miller2019,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P024,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P025,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-03-P001,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P002,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P003,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P004,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P005,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P006,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P007,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P008,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P009,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P010,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P011,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P012,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P013,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P014,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P015,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P016,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P017,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P018,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P019,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P020,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P021,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P022,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P023,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P024,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P025,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P026,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P027,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P028,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P029,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P030,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P031,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P032,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-03-P033,chapters/03_problem_rqs.tex,MAP-06;MAP-07;MAP-08;MAP-09,CLM-0020;CLM-0022;CLM-0031;CLM-0035,,,proposed_operationalization;not_implementation_evidence
SEP17-04-P001,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P002,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P003,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P004,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P005,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P006,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P007,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P008,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P009,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P010,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P011,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P012,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,Gardner2020;Ribeiro2020,proposed_study_design;independent_data_pending
SEP17-04-P013,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P014,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P015,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P016,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P017,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P018,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,ArtsteinPoesio2008,proposed_study_design;independent_data_pending
SEP17-04-P019,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P020,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P021,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P022,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P023,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P024,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P025,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P026,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P027,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P028,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P029,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P030,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P031,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P032,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P033,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P034,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P035,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P036,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P037,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P038,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P039,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P040,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P041,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P042,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P043,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-04-P044,chapters/04_study_plan.tex,MAP-09;MAP-10;MAP-11;MAP-12,CLM-0023;CLM-0026;CLM-0033,,,proposed_study_design;independent_data_pending
SEP17-05-P001,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P002,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P003,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P004,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P005,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P006,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P007,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P008,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P009,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P010,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P011,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P012,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P013,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P014,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-05-P015,chapters/05_contributions.tex,MAP-11;MAP-12,CLM-0034,,,conditional_contribution;candidate;not_empirical_result
SEP17-06-P001,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P002,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P003,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P004,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P005,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P006,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P007,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P008,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P009,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P010,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P011,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-06-P012,chapters/06_timeline.tex,MAP-13,,,,working_plan;committee_scope_and_independent_evidence_pending
SEP17-07-P001,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P002,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P003,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P004,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P005,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P006,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P007,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P008,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P009,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P010,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P011,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-07-P012,chapters/07_appendix_prototype.tex,MAP-14,,,,historical_report_or_draft_record;no_fresh_reproduction
SEP17-ABSTRACT-P001,pages/abstract.tex,MAP-02;MAP-12,CLM-0026;CLM-0035;CLM-0036,,,proposal_summary;empirical_validation_pending
SEP17-ABSTRACT-P002,pages/abstract.tex,MAP-02;MAP-12,CLM-0026;CLM-0035;CLM-0036,,,proposal_summary;empirical_validation_pending
SEP17-ABSTRACT-P003,pages/abstract.tex,MAP-02;MAP-12,CLM-0026;CLM-0035;CLM-0036,,,proposal_summary;empirical_validation_pending
SEP17-ABSTRACT-P004,pages/abstract.tex,MAP-02;MAP-12,CLM-0026;CLM-0035;CLM-0036,,,proposal_summary;empirical_validation_pending
SEP17-03-RQ1,chapters/03_problem_rqs.tex,MAP-09;MAP-10;MAP-11;MAP-12,,,,proposed_research_question;not_result
SEP17-03-RQ2,chapters/03_problem_rqs.tex,MAP-09;MAP-10;MAP-11;MAP-12,,,,proposed_research_question;not_result
SEP17-03-RQ3,chapters/03_problem_rqs.tex,MAP-09;MAP-10;MAP-11;MAP-12,,,,proposed_research_question;not_result
SEP17-03-RQ4,chapters/03_problem_rqs.tex,MAP-09;MAP-10;MAP-11;MAP-12,,,,proposed_research_question;not_result
SEP17-03-RQ5,chapters/03_problem_rqs.tex,MAP-09;MAP-10;MAP-11;MAP-12,,,,proposed_research_question;not_result
