decision_id,date,decision,rationale,participants,affected_claims,affected_sections,supersedes,status,authority_level
DEC-0012,2026-07-28,Adopt the REV-001 author-confirmed definitions of latent pragmatic misalignment and interpretive drift.,Fixes the canonical construct meanings for proposal revision while keeping author decisions separate from scholarly evidence.,Author,CLM-0024;CLM-0025,Introduction; Problem/RQs,,active,author_confirmed
DEC-0013,2026-07-29,"Q is the utterance-variable pair prioritized for explanation because plausible interpretations produce materially different downstream coordination actions; it is a reviewer-priority heuristic, not unique-cause identification or private-state recovery.",Defines Q while preserving the detection-first epistemic boundary.,Author,CLM-0017;CLM-0020,Study plan; prototype appendix,,active,author_confirmed
DEC-0014,2026-07-29,"Use STARTER_TEMPORAL_Q3_SINGLE_001, STARTER_AUTHORITY_APPROVAL_SINGLE_001, and CONTROL_MEETING_GENERIC_001 as the Step 1 smoke-test manifest under zero, partial, and full context at threshold 0.60.",Fixes a bounded proposal-stage smoke test with micro type-level metrics and separately counted case-level control failures.,Author,CLM-0020;CLM-0023,Study plan; prototype appendix,,active,author_confirmed
DEC-0015,2026-07-29,"Treat the current 52-scenario corpus as a development benchmark, not the final confirmatory dissertation benchmark.",Allows current repository behavior to be reported without implying naturalistic reliability or generalization.,Author,CLM-0022;CLM-0023,Study plan; prototype appendix,,active,author_confirmed
DEC-0016,2026-07-29,"Aggregate detector precision, recall, and F1 by micro (case_id, drift_type, variable_name) matching; report case-level control false-positive rate separately and report unavailable span measures as not_available.",Prevents unmatched predictions from being combined with case-level true negatives and keeps evidence presence distinct from span overlap.,Author,CLM-0020;CLM-0022;CLM-0023,Study plan; prototype appendix,,active,author_confirmed
DEC-0017,2026-07-29,Classify research-program and Step 1 flow figures as conceptual; Q3 output as a static reconstruction; metric displays as generated from registered artifacts; and live-app screenshots as supplementary interface records.,"Separates conceptual, generated, reconstructed, and supplementary provenance classes.",Author,CLM-0022,Prototype appendix,,active,author_confirmed
DEC-0018,2026-07-31,"Use SRC-0036, the Piwek 2000 report, temporarily as a proxy/companion comparator while keeping SRC-0004 not assessable.","The committed 2000 report can support a separate bounded comparison, but it cannot substitute for or establish review of the exact 1997 paper represented by SRC-0004.",author_review,,REV-003 Tier 1 full-text audit,,active,author_confirmed
DEC-0019,2026-08-04,"Within the exact reviewed REV-003 Tier 1 corpus, no single source was located that jointly implements the complete PCC diagnostic combination; PCC remains a candidate integration and evaluation target, and no first-system, universal-absence, or priority claim is authorized.",Records the bounded audit conclusion without converting a finite corpus review into a universal novelty finding.,Author,CLM-0016;CLM-0034,2.7 Synthesis: PCC between attributed state and shared action,,active,author_confirmed
DEC-0020,2026-08-04,"Treat the coordination-critical variable taxonomy as initial and provisional, with semantic/scope, temporal, resource, role/authority, and commitment categories; represent artifact status within semantic/scope or commitment where applicable.",Prevents the operational taxonomy from being presented as closed or exhaustive.,Author,CLM-0030,"2.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions",,active,author_confirmed
DEC-0021,2026-08-04,Use human-contestable diagnostic record as the general design term and discrepancy card as the proposal-stage implementation artifact.,Separates the general design requirement from a stage-specific artifact.,Author,CLM-0033,"2.6 Observability, abstention, and contestability",,active,author_confirmed
DEC-0022,2026-08-04,Do not retain emergent communication or machine-learning drift as standalone Chapter 2 sections.,Aligns Chapter 2 organization with the approved seven-part architecture.,Author,CLM-0027,2 Background and Related Work,,active,author_confirmed
DEC-0023,2026-08-04,"Do not retain negative controls or hidden-label evaluation in the Chapter 2 synthesis; retain them in the Study Plan, Methods, and prototype appendix.",Separates related-work synthesis from evaluation design.,Author,CLM-0027;CLM-0034,2.7 Synthesis: PCC between attributed state and shared action,,active,author_confirmed
DEC-0024,2026-08-04,Treat role/authority drift and commitment drift as named provisional subtypes in the initial operational taxonomy.,Names the initial subtypes without making the taxonomy closed or exhaustive.,Author,CLM-0030;CLM-0032,"2.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions;2.5 Situated coordination in collaborative work",,active,author_confirmed
