provenance_id,component_id,source_id,prior_work_contribution,pcc_adopts,pcc_changes,pcc_extends,provenance_relation,evidence_locator,verification_status
CP-0039,PCC-C04,SRC-0015,Distributed-group research treats lightweight chat as a resource for establishing common ground.,Grounding in distributed collaborative settings.,Focuses on task-critical public evidence across dialogue and persistent artifacts.,Adds role and workflow-sensitive warrant.,MOTIVATING,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0040,PCC-C04,SRC-0016,Articulation-work theory foregrounds coordination activity that formal representations often omit.,The need to model situated coordination evidence.,Represents only bounded variables relevant to a promotion decision.,Makes hidden evidence gaps inspectable.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0041,PCC-C04,SRC-0020,Conversational repair scholarship establishes repair as central to maintaining mutual understanding.,Repair as evidence of trouble and negotiated understanding.,Does not equate absence of repair with successful grounding.,Uses latent cases to study unrepaired divergence.,MOTIVATING,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0042,PCC-C05,SRC-0022,Verifiably safe tool-use research gates consequential execution using explicit checks.,A transition-gating architectural precedent.,Uses public-warrant and coordination-state criteria rather than tool safety alone.,Links blocked or deferred transitions to human-review evidence.,NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0043,PCC-C06,SRC-0031,Shared-mental-model research connects overlap in team representations to implicit coordination.,Coordination consequences of representational alignment.,Uses actor-indexed apparent states and counterfactual actions rather than a single similarity score.,"Adds evidence, warrant, and promotion status.",MOTIVATING,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0044,PCC-C04,SRC-0032,Transactive-memory theory explains how teams distribute knowledge about who knows what.,Role- and actor-indexed knowledge context.,"Treats such context as evidence about coordination, not proof of uptake.",Connects distributed knowledge to public-warrant diagnosis.,MOTIVATING,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0045,PCC-C07,SRC-0035,Collaborative uncertainty-quantification work motivates treating uncertainty as a team-facing rather than model-internal object.,Collaborative presentation and use of uncertainty.,Links uncertainty to missing evidence and abstention.,Evaluates diagnostic calibration and contestability.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0046,PCC-C02,SRC-0036,Formal commitment pegs and commit predicates index content/context/time by agent.,Actor-indexed bounded commitment representation as prior formal lineage.,Treats actor state as an evidence-backed apparent hypothesis rather than the model-world commitment itself.,Connects attributed state to explicit public evidence and a contestable diagnostic.,INHERITED,"PDF pp. 5-6, definitions (1.6), (1.8), and (2.4)",fulltext_verified
CP-0047,PCC-C05,SRC-0036,Nested/mutual commitment contexts and utterance/acceptance constraints formally update commitments.,Public/mutual commitment update as a close formal comparator.,Requires an explicit defeasible evidence-sufficiency judgment before promotion.,Adds organizational role/artifact governance and human contestation.,NEAR_EQUIVALENT,PDF p. 5 definition (1.8); printed pp. 9-11 constraints (10)-(11) and acceptance example,fulltext_verified
CP-0048,PCC-C06,SRC-0036,Constraint (12) links derivable time-indexed self-action commitments to action execution.,Commitment can have consequence-bearing action implications.,Compares competing interpretations and consequences before promotion rather than executing every derived committed action.,Adds work-artifact/workflow effects and observable human review.,ADAPTED,"Printed pp. 11-13, constraints (12)-(15)",fulltext_verified
CP-0049,PCC-C02,SRC-0004,The exact 1997 model associates dialogue state with an actor and records commitments that actor ascribes to self and other.,Actor-indexed apparent commitment state as established lineage.,Restricts the state to action-sensitive task variables with explicit confidence and source spans rather than a broad formal commitment set.,Adds direct comparison of first-order commitments with second-order hypotheses and evaluates detection/localization benefit.,INHERITED,"Printed pp. 91-92, opening of Context change in dialogues and Commitments",fulltext_verified
CP-0050,PCC-C04,SRC-0004,The model represents receipt signals, confirmation, denial, presupposition, entailment, physical action, and expert acceptance as evidence relevant to public and shared commitments.,Public evidence and uptake as separate from private attributed state.,Builds an explicit heterogeneous evidence inventory and represents missing or conflicting context rather than assuming successful transmission.,Extends evidence review across transcript spans and persistent role/policy/artifact records.,INHERITED,"Printed pp. 92-95; public/shared sets pp. 92-93; response signals p. 94; block evidence p. 95",fulltext_verified
CP-0051,PCC-C05,SRC-0004,Transparency and Discussion rules explicitly govern when commitments become public or shared following response signals and acceptance.,An explicit update/promotion rule as a close predecessor.,Recasts the conversational rule as a defeasible public-warrant judgment that may abstain when evidence is insufficient.,Adds formal organizational authority and entitlement; artifact/workflow stage; consequence-sensitive promotion; and an inspectable decision record.,NEAR_EQUIVALENT,"Printed pp. 93-94, Change and Rules",fulltext_verified
CP-0052,PCC-C06,SRC-0004,Commitments constrain linguistic and non-linguistic actions; the multimodal block example links request, physical execution, expert acceptance, and shared commitment.,Consequence-bearing action as part of commitment control.,Compares competing plausible values and counterfactual plans before treating one interpretation as action-ready.,Extends from local object action to governed schedules, permissions, resources, responsibilities, and persistent artifact status.,ADAPTED,"Printed pp. 90-92 and p. 95 multimodal block example",fulltext_verified
CP-0053,PCC-C08,SRC-0004,The source provides formal rules plus interactional denial, confirmation, refusal, compliance, and expert acceptance, but no participant-facing diagnostic object or evaluation of contestability.,Interactional challenge and acceptance as observable evidence.,Makes the system's evidence attribution, candidate interpretations, authority basis, promotion judgment, uncertainty, and consequences directly inspectable and challengeable.,Evaluates calibration, disagreement, evidence localization, false-positive burden, and participant ability to reject the diagnostic.,BOUNDARY_CONDITION,"Printed pp. 93-95; absence of diagnostic/evaluation confirmed through concluding remarks p. 96",fulltext_verified
