claim_id,claim_text,claim_type,claim_strength,status,proposal_location,components,pcc_relation,implication_for_pcc,novelty_risk,origin,last_reviewed
CLM-0011,The choice to clarify can depend jointly on uncertainty and the costs of wrong action.,boundary,descriptive,imported_unverified,"3.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions",PCC-C01;PCC-C06;PCC-C08,NEAR_EQUIVALENT,PCC must distinguish its public-warrant/shared-state target from an individual act-versus-clarify policy.,Very high.,Elicit claim-source matrix import,2026-07-24
CLM-0012,Cooperative work blends flexible alignment with predefined workflow rather than reducing coordination to either alone.,theoretical,descriptive,imported_unverified,3.5 Situated coordination in collaborative work,PCC-C04;PCC-C05;PCC-C07,INHERITED,"Model roles, policy, artifacts, and workflow state as context that informs warrant rather than as fixed substitutes for human coordination.",Medium; PCC’s workplace focus is well motivated but not a new CSCW premise.,Elicit claim-source matrix import,2026-07-24
CLM-0013,Articulation work can remain invisible in process representations and changes under automation.,methodological,descriptive,imported_unverified,3.5 Situated coordination in collaborative work,PCC-C04;PCC-C05;PCC-C07;PCC-C08,ADAPTED,Use inspection outputs to expose otherwise invisible coordination assumptions and state transitions.,Low for applying the idea to PCC; high for claiming to discover articulation work.,Elicit claim-source matrix import,2026-07-24
CLM-0014,"Explainable collaboration requires reasoning over task and collaborator models, and uncertainty display alone may be insufficient for calibrated reliance.",methodological,descriptive,imported_unverified,"3.6 Observability, abstention, and contestability",PCC-C06;PCC-C07;PCC-C08,ADAPTED,"Evaluate whether evidence-plus-consequence displays improve diagnostic judgment and calibrated reliance, not merely whether they are shown.",Medium.,Elicit claim-source matrix import,2026-07-24
CLM-0015,Abstention can be paired with locally interpretable explanations of the decision to refrain.,methodological,descriptive,imported_unverified,"3.6 Observability, abstention, and contestability",PCC-C06;PCC-C07;PCC-C08,ADAPTED,"Make abstention and request-for-clarification evidence-bearing outputs, not opaque non-actions.",Medium.,Elicit claim-source matrix import,2026-07-24
CLM-0016,PCC’s safest provisional contribution is a combination: public-evidence-based diagnostic control over promotion into a role- and artifact-governed shared action state.,novelty,provisional,imported_unverified,3.7 Synthesis: PCC between attributed state and shared action,PCC-C01;PCC-C02;PCC-C03;PCC-C04;PCC-C05;PCC-C06;PCC-C07;PCC-C08,CANDIDATE_NEW_COMBINATION,State this as an audit hypothesis until full-text review tests whether any prior system already combines the entire mechanism.,Medium–high until the closest full texts are audited.,Elicit claim-source matrix import,2026-07-24
CLM-0017,Theory of Mind is the actor-indexed representational foundation for PCC.,theoretical,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C02;PCC-C03,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0018,Grounding and common ground provide the public-evidence background for PCC.,theoretical,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C04,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0019,PCC addresses public warrant and promotion of an interpretation into action-guiding coordination commitment.,construct,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C04;PCC-C05,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0020,Action sensitivity identifies which plausible interpretations have materially different downstream consequences.,methodological,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C01;PCC-C06,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0021,"CSCW supplies the situated organizational, artifact, role, authorization, and workflow context in which promotion decisions matter.",theoretical,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C04;PCC-C05;PCC-C06,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0022,"Observability, abstention, and contestability govern PCC diagnostic output.",scope,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C07;PCC-C08,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0023,The primary empirical substrate is synthetic human-human-like workplace coordination.,scope,descriptive,author_confirmed,Global framing; exact LaTeX location pending proposal import,PCC-C01;PCC-C08,CANONICAL_FRAMING,"Must remain consistent across registers, proposal prose, and prototype documentation.",Not a novelty claim; source support still required where expressed as literature-derived fact.,Author-confirmed implementation workspace decision,2026-07-24
CLM-0024,"Latent pragmatic misalignment is a hidden divergence in task-relevant interpretation, standard, or commitment that remains unrepaired while the interaction appears locally coherent.",construct,definitional,author_confirmed,Introduction and Problem/RQs; planned REV-001 mappings,PCC-C01;PCC-C02;PCC-C04;PCC-C05,CANONICAL_FRAMING,Use this author-confirmed definition consistently; do not present the decision as scholarly evidence.,Not a novelty or priority claim; NOV-0001 remains candidate.,REV-001 author-confirmed claim,2026-07-28
CLM-0025,"Interpretive drift is the persistence or accumulation of latent pragmatic misalignment across turns, artifacts, or decisions.",construct,definitional,author_confirmed,Introduction; planned REV-001 mappings,PCC-C02;PCC-C04;PCC-C05,CANONICAL_FRAMING,Use this author-confirmed definition consistently; do not present the decision as scholarly evidence.,Not a novelty or priority claim; NOV-0001 remains candidate.,REV-001 author-confirmed claim,2026-07-28
CLM-0026,"The dissertation is detection-first: it may produce inspectable diagnostic outputs or suggest clarification, but it does not claim autonomous repair, silent correction, or authorization to modify coordination artifacts.",scope,boundary,author_confirmed,Introduction and Problem/RQs; planned REV-001 mappings,PCC-C07;PCC-C08,CANONICAL_FRAMING,"Constrain proposal claims to inspectable detection and optional clarification suggestions, excluding autonomous repair or artifact-modification authority.",Scope boundary only; not novelty evidence and not a priority claim.,REV-001 author-confirmed claim,2026-07-28
