link_id,claim_id,decision_id,relation,notes
CD-0035,CLM-0030,DEC-0020,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0036,CLM-0030,DEC-0024,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0037,CLM-0031,DEC-0005,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0038,CLM-0031,DEC-0006,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0039,CLM-0031,DEC-0010,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0040,CLM-0032,DEC-0008,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0041,CLM-0032,DEC-0010,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0042,CLM-0032,DEC-0024,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0043,CLM-0033,DEC-0009,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0044,CLM-0033,DEC-0021,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0045,CLM-0034,DEC-0010,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0046,CLM-0034,DEC-0019,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0047,CLM-0034,DEC-0023,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
